gate_id	stages	coordinator	timeout_seconds	memory_mib	exception_class	activation	runner
EG-00	PR|EXT|QUAL	Quality Engineering	60	256	non-waivable	always	registry
EG-ARCH	PR	Architecture	120	512	temporary	always	architecture
EG-BUILD	PR|QUAL	Rust and Toolchain	900	4096	temporary	always	build
EG-CONCURRENCY	PR|EXT|QUAL	Application Runtime	900	4096	non-waivable	risk	concurrency
EG-CORRECT	PR|EXT|QUAL	Architecture	1800	4096	non-waivable	risk	correctness
EG-COVERAGE	PR|EXT	Quality Engineering	1800	4096	temporary	risk	coverage
EG-CRYPTO	PR|EXT|QUAL	Security and Key Management	1800	4096	non-waivable	risk	crypto
EG-DEPS	PR	Rust and Toolchain	600	2048	temporary	always	dependencies
EG-DOCS	PR|QUAL	Public API and SDK	600	2048	temporary	always	documentation
EG-DYNAMIC	PR|EXT	Quality Engineering	1800	4096	non-waivable	risk	dynamic-analysis
EG-ERROR	PR|EXT|QUAL	Public API and SDK	900	2048	non-waivable	always	error-policy
EG-EVIDENCE	PR|QUAL	Release Engineering	120	512	non-waivable	always	evidence
EG-FAULT	PR|EXT|QUAL	Quality Engineering	1800	4096	non-waivable	risk	fault
EG-INTEGRITY	PR|EXT|QUAL	Security and Key Management	1800	4096	non-waivable	risk	integrity
EG-MATRIX	PR|EXT|QUAL	Quality Engineering	1800	4096	temporary	risk	matrix
EG-PERF	PR|QUAL	Performance Qualification	3600	8192	temporary	risk	performance
EG-POLICY	PR	Architecture	120	512	temporary	always	policy
EG-RESOURCE	PR|EXT|QUAL	Storage Kernel	1800	4096	non-waivable	risk	resource
EG-RUST	PR	Rust and Toolchain	900	4096	temporary	always	rust
EG-SAFETY	PR|EXT	Security and Key Management	900	4096	non-waivable	always	safety
EG-SECRETS	PR|EXT|QUAL	Security and Key Management	600	2048	non-waivable	always	secrets
EG-SECURITY	PR|EXT|QUAL	Security and Key Management	1800	4096	non-waivable	risk	security
EG-SOAK	EXT|QUAL	Performance Qualification	86400	8192	temporary	risk	soak
EG-SUPPLY	PR|QUAL	Release Engineering	900	4096	non-waivable	always	supply
EG-TEST	PR|EXT	Quality Engineering	1800	4096	temporary	always	test
