target_id	kind	mode	gate_id	stages	owner	identity	diagnostic	timeout_seconds
rust-host-1	compile	runner-capability	EG-MATRIX	PR	Quality Engineering	rust-2024-host-v1	diagnostic-only	30
api-contract-1	contract	runner-capability	EG-MATRIX	PR	Quality Engineering	canonical-api-v1	diagnostic-only	30
otlp-protocol-1	protocol	runner-capability	EG-MATRIX	PR	Quality Engineering	otlp-grpc-v1	diagnostic-only	30
producer-fixture-1	producer	runner-capability	EG-MATRIX	PR	Quality Engineering	producer-fixture-v1	diagnostic-only	30
provider-fixture-1	provider	runner-capability	EG-MATRIX	PR	Quality Engineering	provider-fixture-v1	diagnostic-only	30
macos-host-1	platform	runner-capability	EG-MATRIX	PR	Quality Engineering	macos-host-v1	diagnostic-only	30
crate-graph-1	architecture	runner-capability	EG-MATRIX	PR	Quality Engineering	architecture-edges-v1	diagnostic-only	30
local-fs-1	filesystem	runner-capability	EG-MATRIX	PR	Quality Engineering	local-filesystem-v1	diagnostic-only	30
storage-class-1	storage-class	runner-capability	EG-MATRIX	PR	Quality Engineering	storage-class-fixture-v1	diagnostic-only	30
sdk-registry-1	registry	runner-capability	EG-MATRIX	PR	Quality Engineering	sdk-registry-fixture-v1	diagnostic-only	30
native-archive-1	distribution	runner-capability	EG-MATRIX	PR	Quality Engineering	native-archive-fixture-v1	diagnostic-only	30
generated-sdk-1	sdk	runner-capability	EG-MATRIX	PR	Quality Engineering	generated-sdk-fixture-v1	diagnostic-only	30
old-new-api-1	compatibility	runner-capability	EG-MATRIX	PR	Quality Engineering	old-new-api-fixture-v1	diagnostic-only	30
evidence-schema-1	evidence	runner-capability	EG-MATRIX	PR	Quality Engineering	evidence-schema-v3	diagnostic-only	30
